"","lat","lon","crop","average_predicted_yield","uncertainty","start_sowing_date","end_sowing_date","start_harvest_date","end_harvest_date","season"
"122","-13.91663345","13.08335395","MILLET","0.519524828617173","18","01/05","15/07","01/09","15/11","90-120 days"
"123","-13.74996675","13.08335395","MILLET","0.64306868656825","18","01/05","15/07","01/09","15/11","90-120 days"
"124","-13.58330005","13.08335395","MILLET","0.67596721424539","18","01/05","15/07","01/09","15/11","90-120 days"
"125","-13.41663335","13.08335395","MILLET","0.61925241470065","18","01/06","15/07","01/09","15/11","90-120 days"
"126","-13.24996665","13.08335395","MILLET","0.677513323802953","18","01/06","15/07","01/09","15/11","90-120 days"
"127","-13.08329995","13.08335395","MILLET","0.641246123019172","18","01/06","15/07","01/09","15/11","90-120 days"
"128","-12.91663325","13.08335395","MILLET","0.703556106434115","18","01/06","15/07","01/09","15/11","90-120 days"
"129","-12.74996655","13.08335395","MILLET","0.549905062833937","18","01/06","15/07","01/09","15/11","90-120 days"
"130","-12.58329985","13.08335395","MILLET","0.613202532938762","18","01/06","15/07","01/09","15/11","90-120 days"
"131","-12.41663315","13.08335395","MILLET","0.775244369096421","18","01/06","15/07","01/09","15/11","90-120 days"
"132","-12.24996645","13.08335395","MILLET","0.649269549593573","18","01/06","15/07","01/09","15/11","90-120 days"
"133","-12.0832997500000","13.08335395","MILLET","0.616708511611928","18","01/06","15/07","01/09","15/11","90-120 days"
"134","-11.916633050","13.08335395","MILLET","0.56660391627344","18","01/06","15/07","01/09","15/11","90-120 days"
"135","-11.74996635","13.08335395","MILLET","0.694429325615123","18","01/06","15/07","01/09","15/11","90-120 days"
"136","-11.58329965","13.08335395","MILLET","0.674591871139525","18","01/06","15/07","01/09","15/11","90-120 days"
"137","-11.4166329500000","13.08335395","MILLET","0.56287570047124","18","01/06","15/07","01/09","15/11","90-120 days"
"138","-15.74996715","13.25002065","MILLET","0.63498706857825","18","01/05","15/07","01/09","15/11","90-120 days"
"139","-15.58330045","13.25002065","MILLET","0.72820329269756","18","01/05","15/07","01/09","15/11","90-120 days"
"140","-15.41663375","13.25002065","MILLET","0.650616927109535","18","01/05","15/07","01/09","15/11","90-120 days"
"141","-15.24996705","13.25002065","MILLET","0.659565929398047","18","01/05","15/07","01/09","15/11","90-120 days"
"142","-15.08330035","13.25002065","MILLET","0.658786801918487","18","01/05","15/07","01/09","15/11","90-120 days"
"143","-14.91663365","13.25002065","MILLET","0.702646809167053","18","01/05","15/07","01/09","15/11","90-120 days"
"144","-14.74996695","13.25002065","MILLET","0.719209705356726","18","01/05","15/07","01/09","15/11","90-120 days"
"145","-14.58330025","13.25002065","MILLET","0.696085425685797","18","01/05","15/07","01/09","15/11","90-120 days"
"146","-14.41663355","13.25002065","MILLET","0.623079738789161","18","01/05","15/07","01/09","15/11","90-120 days"
"147","-14.24996685","13.25002065","MILLET","0.719053496181833","18","01/05","15/07","01/09","15/11","90-120 days"
"148","-14.08330015","13.25002065","MILLET","0.607580510423081","18","01/05","15/07","01/09","15/11","90-120 days"
"149","-13.91663345","13.25002065","MILLET","0.684947073841355","18","01/05","15/07","01/09","15/11","90-120 days"
"150","-13.74996675","13.25002065","MILLET","0.613807672167848","18","01/05","15/07","01/09","15/11","90-120 days"
"151","-13.58330005","13.25002065","MILLET","0.651215935283726","18","01/05","15/07","01/09","15/11","90-120 days"
"152","-13.41663335","13.25002065","MILLET","0.664025735767683","18","01/06","15/07","01/09","15/11","90-120 days"
"153","-13.24996665","13.25002065","MILLET","0.668315868471509","18","01/06","15/07","01/09","15/11","90-120 days"
"154","-13.08329995","13.25002065","MILLET","0.711803299900941","18","01/06","15/07","01/09","15/11","90-120 days"
"155","-12.91663325","13.25002065","MILLET","0.659215479485166","18","01/06","15/07","01/09","15/11","90-120 days"
"156","-12.74996655","13.25002065","MILLET","0.711871917948557","18","01/06","15/07","01/09","15/11","90-120 days"
"157","-12.58329985","13.25002065","MILLET","0.685148767387666","18","01/06","15/07","01/09","15/11","90-120 days"
"158","-12.41663315","13.25002065","MILLET","0.729810966702264","18","01/06","15/07","01/09","15/11","90-120 days"
"159","-12.24996645","13.25002065","MILLET","0.634481669074934","18","01/06","15/07","01/09","15/11","90-120 days"
"160","-12.0832997500000","13.25002065","MILLET","0.650804056137776","18","01/06","15/07","01/09","15/11","90-120 days"
"161","-11.916633050","13.25002065","MILLET","0.548090778289114","18","01/06","15/07","01/09","15/11","90-120 days"
"162","-11.74996635","13.25002065","MILLET","0.582526097797667","18","01/06","15/07","01/09","15/11","90-120 days"
"163","-11.58329965","13.25002065","MILLET","0.593251041475127","18","01/06","15/07","01/09","15/11","90-120 days"
